序号,入站通道,消息前缀,解析说明,解析规律,参数含义,当前返回信息,后端用途待确认,后端发出格式
181,QT_Return_switch,AutoFocusEnded,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AutoFocusEnded」。,"parts[0]: 与 Qt 约定的下行关键字「AutoFocusEnded」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：[AUTO_FOCUS_UI_ENHANCEMENT]。 代码摘要：// [AUTO_FOCUS_UI_ENHANCEMENT] if (parts.length >= 2) { const message = parts[1]; console.log('AutoFocusEnded:', message); this.$bus.$emit('EndAutoFocus'); } break; // 自动对焦 SNR 结果（粗调 / 精调） - [AUTO_FOCUS_UI_ENHANCEMENT] // 格式: AutoFocusSN...",向下游抛出 $bus 事件: EndAutoFocus；[AUTO_FOCUS_UI_ENHANCEMENT],,QT_Return message 建议: AutoFocusEnded:...
182,QT_Return_switch,AutoFocusSNR,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AutoFocusSNR」。,"parts[0]: 与 Qt 约定的下行关键字「AutoFocusSNR」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：自动对焦拍摄进度：各阶段当前张数 / 总张数。 代码摘要：if (parts.length >= 5) { const stage = parts[1]; // 'coarse' or 'fine' const index = parseInt(parts[2], 10); const position = parseInt(parts[3], 10); const snr = parseFloat(parts[4]); console.log('AutoFocusSNR:', stage, index, position, ...",向下游抛出 $bus 事件: AutoFocusSNR；自动对焦拍摄进度：各阶段当前张数 / 总张数,,QT_Return message 建议: AutoFocusSNR:...
183,QT_Return_switch,AutoFocusCaptureProgress,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AutoFocusCaptureProgress」。,"parts[0]: 与 Qt 约定的下行关键字「AutoFocusCaptureProgress」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：将进度信息同步到对焦面板，在自动对焦控制区域旁边显示。 代码摘要：if (parts.length >= 4) { const stage = parts[1]; const current = parseInt(parts[2], 10) || 0; const total = parseInt(parts[3], 10) || 0; this.autoFocusInfo.stage = stage; this.autoFocusInfo.currentShot = current; this.autoFocusInfo.total...",向下游抛出 $bus 事件: AutoFocusCaptureProgressUI；将进度信息同步到对焦面板，在自动对焦控制区域旁边显示,,QT_Return message 建议: AutoFocusCaptureProgress:...
184,QT_Return_switch,StartAutoPolarAlignmentStatus,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「StartAutoPolarAlignmentStatus」。,"parts[0]: 与 Qt 约定的下行关键字「StartAutoPolarAlignmentStatus」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length >= 3) { const status = parts[1]; const message = parts[2]; this.$bus.$emit('PolarAlignmentIsRunning', status == 'true'); console.log('StartAutoPolarAlignmentStatus:', status, message); this.callShowMessageBox(message, st...",向下游抛出 $bus 事件: PolarAlignmentIsRunning,,QT_Return message 建议: StartAutoPolarAlignmentStatus:...
185,QT_Return_switch,MountOnlyGotoSuccess,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MountOnlyGotoSuccess」。,"parts[0]: 与 Qt 约定的下行关键字「MountOnlyGotoSuccess」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：this.reEnableButton('Goto'); this.callShowMessageBox('Mount Only Goto Success', 'info'); break;",见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: MountOnlyGotoSuccess:...
186,QT_Return_switch,MountOnlyGotoFailed,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MountOnlyGotoFailed」。,"parts[0]: 与 Qt 约定的下行关键字「MountOnlyGotoFailed」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：===== PHD2 异常退出/重启 =====。 代码摘要：if (parts.length === 2) { const message = parts[1]; this.callShowMessageBox(message, 'error'); this.reEnableButton('Goto'); } break; // ===== PHD2 异常退出/重启 =====",===== PHD2 异常退出/重启 =====,,QT_Return message 建议: MountOnlyGotoFailed:...
187,QT_Return_switch,PHD2ClosedUnexpectedly,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「PHD2ClosedUnexpectedly」。,"parts[0]: 与 Qt 约定的下行关键字「PHD2ClosedUnexpectedly」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：后端格式: ""PHD2ClosedUnexpectedly:是否重新启动PHD2?""。 代码摘要：// 后端格式: ""PHD2ClosedUnexpectedly:是否重新启动PHD2?"" { const text = parts.length >= 2 ? parts.slice(1).join(':') : this.$t('PHD2 closed unexpectedly. Restart now?'); this.ShowConfirmDialog('PHD2', text, 'RestartPHD2'); } break;","后端格式: ""PHD2ClosedUnexpectedly:是否重新启动PHD2?""",,QT_Return message 建议: PHD2ClosedUnexpectedly:...
188,QT_Return_switch,PHD2Restarting,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「PHD2Restarting」。,"parts[0]: 与 Qt 约定的下行关键字「PHD2Restarting」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：this.callShowMessageBox('Restarting PHD2...', 'info'); break;",见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: PHD2Restarting:...
189,QT_Return_switch,getMountInfo,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「getMountInfo」。,"parts[0]: 与 Qt 约定的下行关键字「getMountInfo」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：===== 内置导星（GuiderCore）消息（用于 UI 显示/避免“未处理命令”刷屏） =====。 代码摘要：if (parts.length >= 2) { const mountInfo = parts[1]; for (const item of this.devices) { if (item.driverType === 'Mount') { item.sdkVersion = mountInfo; break; } } this.$bus.$emit('sendCurrentConnectedDevices', this.devices); } break; // ...",向下游抛出 $bus 事件: sendCurrentConnectedDevices；===== 内置导星（GuiderCore）消息（用于 UI 显示/避免“未处理命令”刷屏） =====,,QT_Return message 建议: getMountInfo:...
190,QT_Return_switch,GuiderCoreInfo,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「GuiderCoreInfo」。,"parts[0]: 与 Qt 约定的下行关键字「GuiderCoreInfo」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：形如：GuiderCoreInfo:任意文本（通常是中文提示/日志）。 代码摘要：// 形如：GuiderCoreInfo:任意文本（通常是中文提示/日志） { const msg = parts.length >= 2 ? parts.slice(1).join(':') : ''; if (msg) { // 进入前端日志（控制台/自定义 console log） this.SendConsoleLogMsg(msg, 'info'); // 同步抛给组件（如果后续想在界面上显示导星提示） this.$bus.$emit('GuiderCoreI...",向下游抛出 $bus 事件: GuiderCoreInfo；形如：GuiderCoreInfo:任意文本（通常是中文提示/日志）,,QT_Return message 建议: GuiderCoreInfo:...
