序号,传输类型,信封类型,信号名,方向,线上格式,载荷结构,字段约束,前置条件,成功响应,错误响应,状态副作用,兼容状态,权威来源,前端消费路径,解析规律,参数含义,风险等级,备注
182,websocket_text_json,Vue_Command,getQTClientVersion,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,Qt 客户端版本。,是,frontend:src/App.vue,sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""getQTClientVersion"" | example: getQTClientVersion"
183,websocket_text_json,Vue_Command,getROIInfo,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,ROI 信息。,是,"frontend:src/App.vue | Qt mainwindow.cpp | parts[0]== ""getROIInfo""",sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""getROIInfo"" | example: getROIInfo"
184,websocket_text_json,Vue_Command,getStagingGuiderData,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,暂存导星曲线数据（PHD2 路径已禁用）。,是,frontend:src/components/Chart-Line.vue,sendMessage → src/components/Chart-Line.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,high,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | getStagingGuiderData（内部 #if 0） | example: getStagingGuiderData
185,websocket_text_json,Vue_Command,getStagingScheduleData,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,拉取暂存计划表。,是,frontend:src/App.vue,sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | getStagingScheduleData | example: getStagingScheduleData
186,websocket_text_json,Vue_Command,getStagingSolveResult,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,拉取 plate solve 结果。,是,frontend:src/App.vue,sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,high,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""getStagingSolveResult"" | example: getStagingSolveResult"
187,websocket_text_json,Vue_Command,getTotalVersion,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,总版本号。,是,frontend:src/App.vue,sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""getTotalVersion"" | example: getTotalVersion"
188,websocket_text_json,Vue_Command,listSchedulePresets,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,列出计划预设名。,是,frontend:src/components/SchedulePanel.vue,sendMessage → src/components/SchedulePanel.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | SchedulePresetList | example: listSchedulePresets
189,websocket_text_json,Vue_Command,loadBindDeviceList,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,加载可绑定设备列表。,是,frontend:src/App.vue,sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""loadBindDeviceList"" | example: loadBindDeviceList"
190,websocket_text_json,Vue_Command,loadBindDeviceTypeList,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,加载设备类型列表。,是,frontend:src/App.vue,sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""loadBindDeviceTypeList"" | example: loadBindDeviceTypeList"
191,websocket_text_json,Vue_Command,loadSDKVersionAndUSBSerialPath,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,SDK 与 USB 串口路径信息。,是,"frontend:src/App.vue | Qt mainwindow.cpp | parts[0]== ""loadSDKVersionAndUSBSerialPath""",sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | loadSDKVersionAndUSBSerialPath | example: loadSDKVersionAndUSBSerialPath
192,websocket_text_json,Vue_Command,loadSchedulePreset:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: string 预设名。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,加载某预设到 StagingScheduleData。,是,"frontend:src/components/SchedulePanel.vue | Qt mainwindow.cpp | parts[0]== ""loadSchedulePreset""",sendMessage → src/components/SchedulePanel.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | loadSchedulePreset | example: loadSchedulePreset:
193,websocket_text_json,Vue_Command,loadSelectedDriverList,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,加载已选驱动列表。,是,frontend:src/App.vue,sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""loadSelectedDriverList"" | example: loadSelectedDriverList"
194,websocket_text_json,Vue_Command,localMessage,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参请求回推；或整段 localMessage:…（见后端分支）。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,无参：请求后端回推缓存的 localMessage:纬度:经度:语言。,是,"frontend:src/App.vue | Qt mainwindow.cpp | parts[0]== ""localMessage""",sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==localMessage 且 parts.size()<4 → emit localMessage:lat:lon:lang | example: localMessage
195,websocket_text_json,Vue_Command,localMessage:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}","parts[1..3]: lat,lon,lang 等 | size>=4。 [与后端对照: 是]",与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,带经纬与语言等多段时写入 ClientLanguage/缓存并回显；见 location-dialog。,是,"frontend:src/components/location-dialog.vue | Qt mainwindow.cpp | parts[0]== ""localMessage""",sendMessage → src/components/location-dialog.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==localMessage 且 parts.size()>=4 → setClientSettings + emit | example: localMessage:
196,websocket_text_json,Vue_Command,netMode:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: ap|wan 等。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,切换 AP/WAN 网络模式。,是,"frontend:src/components/RPI-Hotspot.vue | Qt mainwindow.cpp | parts[0]== ""netMode""",sendMessage → src/components/RPI-Hotspot.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""netMode"" | example: netMode:ap"
197,websocket_text_json,Vue_Command,netMode:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: ap|wan 等。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,切换 AP/WAN 网络模式。,是,"frontend:src/components/RPI-Hotspot.vue | Qt mainwindow.cpp | parts[0]== ""netMode""",sendMessage → src/components/RPI-Hotspot.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""netMode"" | example: netMode:wan"
198,websocket_text_json,Vue_Command,netStatus,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,网络状态查询。,是,frontend:src/components/RPI-Hotspot.vue,sendMessage → src/components/RPI-Hotspot.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""netStatus"" | example: netStatus"
